,x,y,states
0,-180.0,327.0,Himachal Pradesh
1,-212.0,301.0,Punjab
2,-195.0,242.0,Haryana
3,-262.0,172.0,Rajasthan
4,-320.0,51.0,Gujarat
5,-227.0,-66.0,Maharashtra
6,-270.0,-205.0,Goa
7,-235.0,-230.0,Karnataka
8,-210.0,-350.0,Kerala
9,-140.0,-340.0,Tamil Nadu
10,-150.0,-207.0,Andhra Pradesh
11,67.0,-31.0,Odisha
12,130.0,57.0,West Bengal
13,171.0,160.0,Sikkim
14,94.0,128.0,Bihar
15,-56.0,170.0,Uttar Pradesh
16,-120.0,280.0,Uttarakhand
17,-138.0,60.0,Madhya Pradesh
18,-40.0,-5.0,Chhattisgarh
19,81.0,74.0,Jharkhand
20,-120.0,-130.0,Telangana
21,284.0,168.0,Assam
22,230.0,130.0,Meghalaya
23,250.0,70.0,Tripura
24,280.0,60.0,Mizoram
25,320.0,118.0,Manipur
26,347.0,163.0,Nagaland
27,320.0,225.0,Arunachal Pradesh
